from	from_type	type	to	to_type
		relation		
		relation		
		relation		
		relation		
FrascarelliHinterholzl2007		relation		
		relation		
		relation		
Booij1993		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Corver2006		relation		
		relation		
Nathan2006		relation		
		relation		
KubotaLevine2016a		relation		
		relation		
		relation		
		relation		
		relation		
Krifka1989		relation		
FrazierClifton2005		relation		
		relation		
		relation		
		relation		
KoopmanSportiche1991		relation		
Dougherty1971		relation		
		relation		
		relation		
Geurts2011		relation		
CiardelliZhangChampollion2018		relation		
		relation		
Erteschik1973		relation		
Kishimoto2012		relation		
Crowley2019		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
HirschbergWard1991		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Chomsky2008		relation		
		relation		
Kehler2002		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Moltmann1992a		relation		
		relation		
Farkas1988		relation		
		relation		
Bruening2019		relation		
		relation		
		relation		
Wilder1999a		relation		
		relation		
		relation		
Jacobson2008		relation		
Roberts1996		relation		
		relation		
		relation		
		relation		
		relation		
Rooij2003		relation		
Ross1967a		relation		
		relation		
		relation		
SatoKarimi2016		relation		
		relation		
		relation		
Saito1985a		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Wilder1999		relation		
		relation		
		relation		
		relation		
Thornton1999		relation		
		relation		
		relation		
		relation		
		relation		
Musan1995		relation		
		relation		
Büring1997b		relation		
IdoKubota2025		relation		
Dougherty1970		relation		
IdoKubota2025		relation		
		relation		
		relation		
Rizzi1982		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Stechow2009		relation		
		relation		
Chierchia1995		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
BelkNeeleman2017		relation		
		relation		
		relation		
Nishigauchi1990a		relation		
Fiengo1980		relation		
HuangY2000		relation		
		relation		
Pope1972		relation		
		relation		
		relation		
Montague1974b		relation		
		relation		
		relation		
Boskovic2002c		relation		
Gunlogson2008		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Horn1992		relation		
Abels2001		relation		
		relation		
Erteschik1973		relation		
AounAudreyLi2008		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Manetta2019		relation		
Beck2000		relation		
Hoji1995b		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Harley1995		relation		
		relation		
DalrympleShieberPereira1991		relation		
SprouseWagersPhillips2012		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Larson1985		relation		
Narita2025g		relation		
SchwarzschildWilkinson2002		relation		
Szczegielniak2005		relation		
		relation		
		relation		
DeBelderVanCraenenbroeck2015		relation		
		relation		
		relation		
		relation		
		relation		
Lasersohn1988		relation		
		relation		
		relation		
Hamblin1973		relation		
Massam1985		relation		
		relation		
		relation		
		relation		
Abels2011		relation		
Alexiadou2008		relation		
		relation		
Hale1983		relation		
ChoWhitmanYanagida2008		relation		
		relation		
Noyer1992		relation		
		relation		
		relation		
		relation		
Chaves2012a		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Miyagawa1989		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
SchulzRooij2006		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Andersen2021		relation		
		relation		
LindenberghHoutHollebrandse2015		relation		
		relation		
		relation		
		relation		
		relation		
Mari2016		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
D'Arcy2017		relation		
		relation		
		relation		
Cresswell1976		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Dikken2018		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Chomsky2015b		relation		
		relation		
Carpenter1997		relation		
Massam1985		relation		
		relation		
		relation		
		relation		
SchwabeWinkler2003		relation		
YoshidaEA2015		relation		
		relation		
Harwood2015		relation		
WardKehler2005		relation		
WardHirschberg1985		relation		
SprouseWagersPhillips2012		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Lasnik2014		relation		
		relation		
		relation		
von Fintel1999		relation		
Chomsky2001		relation		
		relation		
KaufmannKaufmann2012		relation		
SchwarzchildWilkinson2002		relation		
Haik1985		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Merchant2004		relation		
BierwischHeidolph1970		relation		
		relation		
Hacquard2006		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Chomsky1995		relation		
		relation		
Lahiri1991		relation		
		relation		
		relation		
		relation		
Tomioka1999		relation		
		relation		
Kratzer2004		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Kim2018		relation		
		relation		
		relation		
CecchettoPercus2006		relation		
CraenenbroeckJeroenDikken2006		relation		
		relation		
		relation		
		relation		
Jacobson2020		relation		
Corver2006		relation		
Bloch1946		relation		
		relation		
HornsteinNunes2008		relation		
MorrillValentin2017		relation		
		relation		
BüringKriž2013		relation		
		relation		
		relation		
		relation		
Rodrigues2009		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Takahashi2008MS		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Romero2004		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Chung2006		relation		
		relation		
		relation		
		relation		
Stump2001		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Hawkins2014b		relation		
		relation		
		relation		
McCready2008		relation		
Marantz1984		relation		
		relation		
		relation		
Tada1993		relation		
Sheehan2013b		relation		
		relation		
Shimoyama2012		relation		
		relation		
Verkuyl1993		relation		
		relation		
GroenendijkStokhof1991		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Reich2007		relation		
		relation		
		relation		
Tada1993a		relation		
RoelofsenGool2010		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Stowell1981		relation		
		relation		
		relation		
		relation		
Moltmann1992		relation		
Rizzi2007		relation		
		relation		
ShiraïshiAbeilléHemforthMiller2019		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Jacobs1991		relation		
		relation		
		relation		
		relation		
		relation		
Moortgat1997		relation		
		relation		
		relation		
		relation		
Chomsky1970		relation		
Rizzi1982		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Chomsky2001		relation		
		relation		
		relation		
IharaMizutani2020		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Marantz1984		relation		
		relation		
		relation		
Marantz1984		relation		
		relation		
Kishimoto2013		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
CloskeyJames1996		relation		
Huang1993b		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Cooper1983		relation		
		relation		
		relation		
Roberts1996/2012		relation		
Corver2006		relation		
		relation		
		relation		
Steedman2000		relation		
BayerObenauer2011		relation		
		relation		
Matsushansky2006		relation		
		relation		
Burzio1981		relation		
AsherHardtBusquets2001		relation		
		relation		
		relation		
Steedman1985		relation		
Bhatt2004		relation		
		relation		
YoshidaEA2012		relation		
		relation		
		relation		
Kuroda1988b		relation		
		relation		
		relation		
		relation		
Perlmutter1968		relation		
Potts2005		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
BoeckxStjepanoviü2001		relation		
		relation		
		relation		
Elbourne2005		relation		
		relation		
		relation		
DenDikken2006		relation		
		relation		
George1980		relation		
		relation		
		relation		
		relation		
ManningSagIida2000		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Blutner2000		relation		
		relation		
		relation		
Pearson2018		relation		
		relation		
		relation		
		relation		
Mikkelsen2005		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Frazier2007		relation		
		relation		
		relation		
		relation		
		relation		
Gianakidou2007		relation		
		relation		
		relation		
		relation		
		relation		
AnderBois2010		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Huang1993		relation		
Tada1993a		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Alxatib2016		relation		
		relation		
TakahashiS2006		relation		
		relation		
		relation		
Thráinsson2001		relation		
TruckenbrodtAuweraPlungian2006		relation		
		relation		
Rezac2003		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
craenenbroeck2006a		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Fintel1997		relation		
		relation		
Heycock2008		relation		
		relation		
		relation		
Kawahara2023k		relation		
		relation		
		relation		
Montague1973		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Rodman1976		relation		
		relation		
		relation		
		relation		
		relation		
AounLi2008		relation		
		relation		
		relation		
Takahashi2013		relation		
Boskovic2009		relation		
		relation		
		relation		
IdoKubota2025		relation		
		relation		
Cable2012		relation		
		relation		
Hiraiwa2005a		relation		
		relation		
Chomsky1981a		relation		
ChungLadusawMcCloskey1995		relation		
		relation		
		relation		
		relation		
Mu'adz1991		relation		
Jacobson1999		relation		
Sawada2007		relation		
		relation		
		relation		
		relation		
		relation		
craenenbroeck2006a		relation		
		relation		
Hiraiwa2005a		relation		
		relation		
		relation		
Kurafuji2019		relation		
		relation		
Nathan2006		relation		
		relation		
		relation		
		relation		
		relation		
Schlenker1999		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Ott2016		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Hirschberg1991		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Frazier2005		relation		
		relation		
Krifka1998		relation		
		relation		
Oehrle1995		relation		
		relation		
		relation		
		relation		
Saito1985a		relation		
OtaniWhitman1991		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Schwarz1999b		relation		
		relation		
		relation		
Kenny1976		relation		
		relation		
		relation		
		relation		
		relation		
FoxSpector2018		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Burzio1981		relation		
Koizumi1995		relation		
		relation		
vanCraenenbroeckLipták2006		relation		
Abney1987		relation		
		relation		
		relation		
		relation		
		relation		
Chomsky1994		relation		
Hoji2003b		relation		
		relation		
Chomsky2001		relation		
		relation		
Girard1987		relation		
		relation		
		relation		
		relation		
Reinhart1976		relation		
Harada1986		relation		
		relation		
		relation		
IdoKubota2025		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Funakoshi2016		relation		
		relation		
BuringMatthewsPosnerSmithVincentKempson2003		relation		
		relation		
		relation		
Lasnik1999a		relation		
		relation		
		relation		
		relation		
Gajewski2005		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Kayne1998		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Corver2011		relation		
Lappin2001		relation		
Filip2008		relation		
Stowell1981		relation		
		relation		
Larson1988		relation		
		relation		
		relation		
Tomioka2003a		relation		
Pearson2016		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
PullumZwicky1986		relation		
		relation		
Rooth1992		relation		
		relation		
		relation		
		relation		
Perlmutter1971		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Sharvit1999		relation		
		relation		
Zwart1997		relation		
		relation		
		relation		
		relation		
Santos2006		relation		
		relation		
Erteschik-Shir1973		relation		
Hasegawa1985		relation		
Rizzi1982		relation		
Pope1972		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Miller1991		relation		
Koizumi1995		relation		
IdoKubota2025		relation		
		relation		
Valin2017		relation		
		relation		
Moltmann1992a		relation		
		relation		
Gajewski2005		relation		
		relation		
		relation		
		relation		
		relation		
Fox2007		relation		
Corver1990		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Lindner1991		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Musan1995		relation		
CorvervanKoppen2011		relation		
		relation		
		relation		
FrazierCliftonCarlson2007		relation		
		relation		
		relation		
Frazier2006		relation		
WagnerWardHirschberg2012		relation		
		relation		
Corver1990b		relation		
		relation		
		relation		
		relation		
Saito1985		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Vlach1981		relation		
		relation		
		relation		
		relation		
HopperThompson1980		relation		
		relation		
AlrengaKennedy2014		relation		
		relation		
		relation		
		relation		
		relation		
Nadathur2016		relation		
Rouveret2012		relation		
		relation		
		relation		
		relation		
		relation		
Hunter2012		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Lakoff1972		relation		
		relation		
		relation		
		relation		
Rackowski2002		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Hulsey2008		relation		
		relation		
D’Arcy2017		relation		
Gajewski2005		relation		
Kratzer1998		relation		
		relation		
Anand2006		relation		
		relation		
		relation		
		relation		
SprouseEA2012		relation		
		relation		
HornsteinNunesCulicoverHuang2008		relation		
DikkenWilder2000		relation		
		relation		
		relation		
Fanselow2001		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Carlson2009b		relation		
CiardelliGroenendijkRoelofsen2018		relation		
KennedySauerland2004		relation		
		relation		
		relation		
FoxLasnik2003		relation		
		relation		
Herburger2016		relation		
		relation		
		relation		
AbeilleHemforthWinckelGibson2020		relation		
		relation		
Otani1991		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Koizumi1995		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Pancheva2003		relation		
		relation		
		relation		
		relation		
		relation		
HauserChomskyFitch2002		relation		
		relation		
		relation		
Matthewson2001		relation		
Murasugi1991		relation		
		relation		
		relation		
		relation		
CastroviejoOltra-Massuet2018		relation		
		relation		
		relation		
		relation		
Larson1988a		relation		
		relation		
		relation		
Jayaseelan2001		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Kim1976		relation		
		relation		
		relation		
Collins2002		relation		
		relation		
		relation		
		relation		
Schachter1977		relation		
Hoji1996		relation		
		relation		
Hudson1976		relation		
		relation		
		relation		
		relation		
PotterEA2017		relation		
		relation		
		relation		
Heim2008		relation		
Rothstein1983		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Corver2015		relation		
		relation		
		relation		
		relation		
		relation		
Scha1981		relation		
Fiengo1974		relation		
Starke2010		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Schwarz1999		relation		
PruestEA1994		relation		
Schwarz1999		relation		
Fiengo1974		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Dixon1977		relation		
Lambek1958		relation		
		relation		
		relation		
KruijffOehrle2003		relation		
		relation		
		relation		
Chomsky1977		relation		
Giannakidou2007		relation		
		relation		
		relation		
		relation		
		relation		
Hulsey2008		relation		
IdoKubota2025		relation		
		relation		
		relation		
		relation		
		relation		
Kadmon1992		relation		
		relation		
vanRooijSchulz2004		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Coleman2014		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Fukui1986/1995		relation		
Zwart1998b		relation		
		relation		
		relation		
BumfordBarker2013		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Percus2000		relation		
		relation		
Hall2004		relation		
		relation		
Corver2006		relation		
EmbickMarantz2008		relation		
Bar-AsherSiegalBoneh2020		relation		
		relation		
		relation		
Takahashi2006		relation		
		relation		
		relation		
Sawada2010		relation		
		relation		
		relation		
Krivochen2015		relation		
		relation		
		relation		
		relation		
Booij1996		relation		
GregoryLappin1999		relation		
		relation		
		relation		
		relation		
BachCooper1978		relation		
Pope1972		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Larson1988		relation		
		relation		
		relation		
		relation		
Rooij2004		relation		
		relation		
		relation		
		relation		
		relation		
Miyara1982b		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Ludlow2005		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Gajewski2005		relation		
Embick2008		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Krifka1995		relation		
Tada1993		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
McGinnis2001		relation		
		relation		
Schlenker2009		relation		
Koizumi1995		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Jacobson2000		relation		
Bošković2004		relation		
		relation		
Haik1985		relation		
Farkas2002		relation		
		relation		
		relation		
		relation		
		relation		
Harada1973a		relation		
		relation		
Abels2009		relation		
		relation		
		relation		
		relation		
Nadathur2021		relation		
AckemaSzendrői2002		relation		
		relation		
LasnikSaito1984a		relation		
		relation		
		relation		
Marantz2005		relation		
Kuroda1975		relation		
Fowler2011		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Reiter1978		relation		
2001		relation		
Ha2008		relation		
		relation		
		relation		
		relation		
		relation		
Kubota2014		relation		
PaynePullumScholzBerlage2013		relation		
		relation		
		relation		
Holmberg2016		relation		
FanselowLenertová2011		relation		
		relation		
		relation		
Zadeh1965		relation		
		relation		
		relation		
Abrusan2016		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Saito2004a		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Nishigauchi1986		relation		
Abe2011		relation		
		relation		
Lee2016c		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Boskovic2015		relation		
Hardt1999		relation		
		relation		
Takano2000		relation		
Bach1980		relation		
		relation		
Sauerland2004b		relation		
		relation		
		relation		
		relation		
Anderson1984		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Radford2015		relation		
		relation		
Sauerland1998		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Hagstrom1998a		relation		
		relation		
		relation		
言語能力は人工知能で解明できるか		relation		
CinqueRizzi2008		relation		
Rizzi2010		relation		
		relation		
		relation		
PotsdamPolinsky2012		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Dikken2006		relation		
Wiltschko1998		relation		
Carpenter1998		relation		
		relation		
Haik1987		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Phillips1996		relation		
		relation		
Hiraiwa2005a		relation		
		relation		
		relation		
Starke2009		relation		
Fiengo1974		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
KimuraNarita2025a		relation		
		relation		
		relation		
von Fintel1999		relation		
		relation		
Zeijlstra2013		relation		
		relation		
		relation		
Pesetsky2000		relation		
		relation		
		relation		
		relation		
Bennett1974		relation		
		relation		
SchubertPelletier1989		relation		
		relation		
Sheehan2013		relation		
		relation		
		relation		
		relation		
		relation		
HornsteinUriagereka2002		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
BoeckxStjepanovic2001		relation		
		relation		
		relation		
		relation		
Mueller2010		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
ThorntonWexler1999		relation		
		relation		
		relation		
		relation		
Kizu2005a		relation		
ChavesPutnam2020		relation		
		relation		
KimSag2002		relation		
		relation		
Radford1988		relation		
Lamarche1991		relation		
Lahiri1991		relation		
		relation		
		relation		
Jacobson1998		relation		
Levin2000		relation		
		relation		
		relation		
Miller1992		relation		
		relation		
		relation		
		relation		
Sawada2014		relation		
		relation		
Takano2010		relation		
		relation		
		relation		
		relation		
		relation		
KimRunner2011b		relation		
		relation		
		relation		
		relation		
KempRegier2012		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Steedman2012		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Pollard2015		relation		
TanakaH2023		relation		
		relation		
		relation		
Potts2003		relation		
		relation		
		relation		
		relation		
		relation		
SimpsonChoudhuryMenon2013		relation		
		relation		
		relation		
Alexiadou2012		relation		
CulicoverWinkler2008		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
KratzerShimoyama2002		relation		
		relation		
		relation		
Massam1985		relation		
		relation		
ShklovskySudo2014		relation		
		relation		
		relation		
Dikken2006		relation		
Stalnaker1975		relation		
		relation		
		relation		
		relation		
		relation		
Hacquard2006		relation		
Musan1995		relation		
		relation		
		relation		
FrazierClifton1998		relation		
		relation		
Chomsky2001		relation		
		relation		
Saito2008		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Larson1988b		relation		
		relation		
		relation		
		relation		
HaradaNoguchi1992		relation		
		relation		
		relation		
		relation		
		relation		
PotsdamPolinsky2007		relation		
Szczegielniak2005		relation		
		relation		
Miyagawa1997		relation		
		relation		
		relation		
SaitoLinMurasugi2008		relation		
		relation		
		relation		
IdoKubota2025		relation		
orita-etal2025		relation		
		relation		
		relation		
Takano2008		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
MorrillSolias1993		relation		
		relation		
		relation		
		relation		
		relation		
Lahiri2002		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
ManningSagIida1999		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Bouchard1984		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Harada1973		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Deo2020		relation		
		relation		
		relation		
		relation		
		relation		
CarlsonDickeyFrazierClifton2009		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Barker2007		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Jager2005		relation		
		relation		
		relation		
		relation		
		relation		
Giannakidou2001		relation		
Dowty1985		relation		
Sauerland1998b		relation		
		relation		
		relation		
		relation		
Duguine2008		relation		
		relation		
		relation		
Horn1989		relation		
		relation		
		relation		
		relation		
Corver2006		relation		
		relation		
		relation		
		relation		
Merchant2008b		relation		
Bultinck2005		relation		
		relation		
		relation		
		relation		
Hagstrom1998		relation		
		relation		
		relation		
		relation		
		relation		
Rizzi2000		relation		
		relation		
		relation		
TanabeKobayashi2024		relation		
Steedman1990		relation		
AmaralRobertsSmith2007		relation		
		relation		
		relation		
		relation		
Koizumi1995		relation		
		relation		
PottsAsudehCableHaraMcCreadyAlonso-OvalleBhattDavisKratzerRoeperWalkow2009		relation		
Fiengo1974		relation		
SadakaneKoizumi1995		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Heim1990		relation		
		relation		
		relation		
		relation		
		relation		
Oshima2004b		relation		
		relation		
		relation		
		relation		
		relation		
Saito1992		relation		
		relation		
Schachter1973		relation		
Barker2013		relation		
Tada1993		relation		
		relation		
		relation		
		relation		
Muskens2003		relation		
		relation		
		relation		
		relation		
Burge1973		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
		relation		
Schwarz1999b		relation		
		relation		
		relation		
		relation		
		relation		
Baltin2003		relation		
		relation		
Elman1990		relation		
Abbott2006		relation		
		relation		
		relation		
		relation		
PollardSmith2012		relation		
		relation		
		relation		
		relation		
Harada1986		relation		
Oshima2015		relation		
		relation		
		relation		
		relation		
HeycockKroch1994		relation		
HauserEA2002		relation		
		relation		
		relation		
		relation		
		relation		
Szczegielniak2005		relation		
		relation		
		relation		
Kratzer2012		relation		
		relation		
AkuzawaKubota2025		relation	Tense Alternation Generalization	
Nishigauchi2020		relation	NishiyamaNishikawa2018	
EpsteinKitaharaSeely2014		relation	Lexical Array (LA)	
Kishimoto2007		relation	verb movement/raising	
Takahashi2004		relation	Jayaseelan1990	
KubotaLevine2023		relation	McCloskey2000	
Kayne2011		relation	head parameter	
TanabeKobayashi2024		relation	verb-stranding VP-ellipsis analysis of Argument Ellipsis	
KubotaLevine2020		relation	YatabeTam2019	
Kayne1994		relation	head parameter	
IdoKubota2021		relation	c-command NPI licensing of sika	
Takita2010		relation	pro analysis of Argument Ellipsis	
AkuzawaKubota2024		relation	VarlokostaHornstein1993	
Jacobson2000		relation	Logical Form (LF)	
Kobayashi2024		relation	V-stranding Sluicing	
Kuroda1969		relation	Fregean Logic	
SagNykiel2011		relation	P-stranding generalization	
Matsuoka2023		relation	Experiencer PPs as adjuncts	
Kobayashi2023		relation	head movement	
Lee2021		relation	Nakao2010	
Saab2008		relation	Eguren2010	
KubotaLevine2022		relation	KimRunner2022	
KubotaAkuzawa2020		relation	Tense Alternation Generalization	
KubotaLevine2016a		relation	Johnson2000	
SuzukiMatsumoto2022		relation	Only homo sapiens has Merge	
Johnson2009		relation	Coppock2001	
Hirose2018		relation	c-commanding requirement of zibun binding	
TanabeKobayashi2024		relation	adjuncts not elidable	
Shieber1985		relation	context-freeness of natural language	
Smirnova2009		relation	defective tense	
HukariLevine1995		relation	PollardSag1994	
KubotaLevine2016b		relation	Moltmann1992b	
Takita2024KLS		relation	polarity ellipsis	
KubotaLevine2017		relation	Miller1990	
TanabeKobayashi2024		relation	head-stranding ellipsis	
Kobayashi2024		relation	head-stranding ellipsis	
SagNykiel2011		relation	syntactic identity condition (ellipsis)	
KimRunner2022		relation	Miller2014	
Kubota2012		relation	Hayashishita2007	
KimRunner2022		relation	KubotaLevine2017	
AmaralEA2007		relation	speaker-orientedness (of CI)	
Romero1998		relation	Semantic Reconstruction	
Johnson2001		relation	anaphoric analysis (ellipsis)	
KubotaLevine2016a		relation	SagEA1985	
Sakamoto2016a		relation	verb-stranding VP-ellipsis analysis of Argument Ellipsis	
PollardWorth2015		relation	KLM overgeneration (coordination)	
AkuzawaKubota2024		relation	Tense Alternation Generalization	
Takita2010		relation	Hiraiwa2003	
ManningSagIida2000		relation	biclausal analysis of Japanese causative	
Partee1970		relation	Conjunction Reduction	
Ihara2024		relation	Hirayama2019	
Gazdar1981		relation	Conjunction Reduction	
Saab2008		relation	Giannakidou1999b	
BoumaEA2001		relation	successive cyclicity	
Kennedy2015		relation	GeurtsNouwen2007	
Eguren2010		relation	Lobeck1995	
KubotaAkuzawa2020		relation	defective tense	
AkuzawaKubota2025		relation	FujiiEA2023	
YatabeTam2019		relation	multi-dominance	
Sakamoto2016a		relation	pro analysis of Argument Ellipsis	
Takano2008MS		relation		
AkuzawaKubota2020		relation	defective tense	
Kubota2015		relation	head movement	
Saab2010		relation	DepianteMasullo2001	
Ishii1996		relation	Miyagawa1989	
CulicoverJackendoff2005		relation	Johnson2000	
Gengel2013		relation	Jayaseelan1990	
HaleReiss2000		relation	positional faithfulness	
Toosarvandani2013		relation	Johnson2009	
Funakoshi2016		relation	adjunct ellipsis	
KubotaLevine2020		relation	Linearization-Based Ellipsis (LBE)	
KimRunner2022		relation	syntactic deletion	
Takano2008MS		relation		
GazdarEA1982		relation	transformational grammar	
Saito2001		relation	theta-criterion	
KubotaLevine2016b		relation	Chaves2012	
Boeckx2012b		relation	Mueller2010	
Nakamura2013a		relation	voice mismatch	
Kennedy2003		relation	Hardt1999	
EpsteinKitaharaSeely2014		relation	Subarray (SA)	
Kobayashi2024		relation	adjuncts not elidable	
